Report Date,Sol,Writer,Non-Nominal Systems,Notes on Non-Nom. Sys,Generator,Solar (SOC%),Diesel,Propane,Ethanol-Free Gasoline (gal),Water: Loft Tank (gal),Water: Meter (units),Water: Static Tank (gal),Pump Use,Water in GreenHab (gal),Water in ScienceDome (gal),Toilet Emptied?,Perseverance,P_Hours,P_Charge_Start,P_Charge_End,P_Charge_Status,Sojourner,So_Hours,So_Charge_Start,So_Charge_End,So_Charge_Status,Spirit,Sp_Hours,Sp_Charge_Start,Sp_Charge_End,Sp_charge_Status,Opportunity,O_Hours,O_charge_start,O_charge_end,O_charge_status,Curiosity,C_Hours,C_charge_start,C_charge_end,C_charge_status,Deimos,D_Hours,D_Charge_Start,D_Charge_End,D_Charge_Status,Rover Notes,ATV,HabCar,CrewCar,General Notes,Internet Status,Suits & Radio Status,Observatory,Health & Safety,HAB Notes,GreenHab Notes,ScienceDome Notes,RAM Notes,Questions
Crew 223  03 02 2020,SOL  1,Luc FORTIN,Nothing to report,Nothing to report,Sunday,,70%,80%,7,47,149665.40,363,yes,218.3,0,yes,,,,,,ASSIGNED TO DIRECTOR,Nothing to report,Nothing to report,Nothing to report,Nothing to report,no,133.2,Nothing to report,Nothing to report,yes,moved from campus to the shop to repair the brakes. Hours  Nothing to report,139.2,Nothing to report,Nothing to report,Nothing to report,yes,139.2,100%,100%,yes,yes,149.1,100%,100%,yes,Nothing to report,5 minutes,Nothing to report.,The CrewCar is in Grand Junction.,Nothing to report,All ok.,Suits 4  7  8  9 were used during the EVA. We had troubles with suit number 7  intermittent fan  same as crew 222 and 221   I tried to fix it but didn t manage to. I just find an email sent last friday by Scott Davis giving some ideas to fix it  so I will try again tomorrow.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Tried to fix suit 7 without success.,Nothing to report,Nothing to report
Crew 223  03 01 2020,SOL  0,Luc FORTIN,Nothing to report,Nothing to report,Saturday,,70%,82%,7,47,149647.32,381,yes,235.2,0,no,,,,,,ASSIGNED TO DIRECTOR,Nothing to report,Nothing to report,Nothing to report,Nothing to report,yes  for training with Shannon,133.2,100%,Non checked,yes,moved from campus to the shop to repair the brakes. Hours  Nothing to report,139.1,Nothing to report,Nothing to report,Nothing to report,yes  for training with Shannon,139.1,100%,Non checked,yes,yes  for training with Shannon,147,100%,Non checked,yes,Nothing to report,5 minutes,We used the Habcar to go to Hanksville to fill up the GreenHab tank  which was full at noon . We also refueled it. Habcar gas tank cap broken. The HabCar is now parked at the MDRS.,The CrewCar is in Grand Junction since this morning  thanks to crew 222.,Nothing to report,All ok.,Suit 3 was used during the engineer EVA.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report
Crew 223  03 01 2020,SOL  0,Luc FORTIN,Nothing to report,Nothing to report,Saturday,,70%,82%,7,47,149647.32,381,yes,14.8,0,no,,,,,,ASSIGNED TO DIRECTOR,Nothing to report,Nothing to report,Nothing to report,Nothing to report,yes  for training with Shannon,133.2,100%,Non checked,yes,moved from campus to the shop to repair the brakes.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,yes  for training with Shannon,139.1,100%,Non checked,yes,yes  for training with Shannon,147,100%,Non checked,yes,Nothing to report,5 minutes,We used the Habcar to go to Hanksville to fill up the GreenHab tank  which was full at noon . We also refueled it.,The CrewCar is in Grand Junction since this morning  thanks to crew 222.,Nothing to report,All ok.,Suit 3 was used during the engineer EVA.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report
Crew 222  28FEB2020,SOL  12,Valentin PRUDHOMME,Nothing to report,Nothing to report,Thursday,,70%,83%,7,47,149590.24,176,yes,0,0,yes,,,,,,ASSIGNED TO DIRECTOR,Nothing to report,Nothing to report,Nothing to report,Nothing to report,no,132.8,100%,100%,yes,moved from campus to the shop to repair the brakes.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,no,138.8,100%,100%,yes,no,146.7,100%,100%,yes,Nothing to report,45 minutes,The HabCar is now in the shop awaiting repairs.,The CrewCar is in Grand Junction.,Nothing to report,All ok.,Suits 7  8  9  10 were used during the EVA. The suit number 7 was working well at the beginning but stopped working in the middle of the EVA. We fixed this in the RAM during this afternoon and now it s working well.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Fixing of the suit number 7. It s working well now. Finished the spacesuit experiment and all working well now.,Nothing to report,Nothing to report
Crew 222  27FEB2020,SOL  11,Valentin PRUDHOMME,Nothing to report,Nothing to report,Wednesday,,72%,84%,7,200,149548.32,218,yes,35.5,0,no,,,,,,ASSIGNED TO DIRECTOR,Nothing to report,Nothing to report,Nothing to report,Nothing to report,no,132.8,100%,100%,yes,moved from campus to the shop to repair the brakes.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,no,138.8,100%,100%,yes,yes,146.7,100%,89%,yes,Nothing to report,30 minutes,The habcar is now in the shop awaiting repairs.,The CrewCar is in Grand Junction.,Nothing to report,All ok.,Suits 7  8  9  10 were used during the EVA.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report
Crew 222  02 27 2020,SOL  11,Valentin PRUDHOMME,N A,N A,Tuesday,,72%,84%  delivered this morning,0.5,200,149548.32,218,yes,35.5,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,no,132.8,N A,N A,yes,moved from campus to the shop to repair the brakes.,N A,N A,N A,yes,no,138.8,N A,N A,yes,yes  also moved by Dr Rupert,146.7,100%,89%,yes,N A,30 minutes,The habcar is now in the shop awaiting repairs.,N A,N A,All ok.,Suits 7  8  9  10 were used during the EVA.,N A,N A,N A,N A,N A,N A,N A
Crew 222  02 26 2020,SOL  10,Valentin PRUDHOMME,N A,N A,Tuesday,,72%,84%  delivered this morning,0.5,47,149505.59,258,yes,47.5,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,no,132.8,N A,N A,yes,moved from campus to the shop to repair the brakes. Hours  N A,138.8,N A,N A,yes,yes,138.8,100%,94%,yes,yes  also moved by Dr Rupert,146.3,100,97%,yes,N A,10 minutes,The habcar is now in the shop awaiting repairs.,N A,N A,All ok.,Suits 7  8  9  10 were used during the EVA. The suit number 7 was working well at the beginning but one hour after the beginning of the EVA the fan was stopping at random moments but was restarting after. The fan never stopped totally but wasn t working optimally.,N A,N A,N A,N A,N A,N A,N A
Crew 222  02 24 2020,SOL  8,Valentin PRUDHOMME,N A,N A,Sunday,,74%,29%  refill asked,0.5,48,149453.58,304,yes,72,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,no,132.4,N A,N A,yes,no,69.9,N A,N A,yes,yes,138.5,100%,94%,yes,no,146.2,N A,N A,yes,N A,10 minutes,The habcar is now in the shop awaiting repairs.,N A,N A,All ok.,Suits 8 and 9 used and radio tested for the,N A,N A,N A,N A,After the rain of yesturday  the RAM wasn t,N A,N A
Crew 222  02 23 2020,SOL  7,Valentin PRUDHOMME,N A,N A,Saturday,,74%,30%  refill asked,0.5,47,149426.79,319,yes,80,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,no,132.4,N A,N A,yes,no,69.9,N A,N A,yes,yes,138.4,100%,90%,yes,no,146.2,N A,N A,yes,N A,10 minutes,The habcar broke down on 02 18 2020. It s,N A,N A,All was fixed yesterday evening. All ok now.,Suits 8 and 9 used and radio tested for the,N A,N A,N A,N A,N A,N A,N A
Crew 222  02 22 2020,SOL  6,Valentin PRUDHOMME,N A,N A,Friday,,74%,31%  refill asked,0.5,50,149408.46,339,yes,89,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,no,132.4,N A,N A,yes,no,69.9,N A,N A,yes,yes,138.3,100%,94%,yes,no,146.2,N A,N A,yes,N A,5 minutes,The habcar broke down on 02 18 2020. It s,N A,N A,Since 10am this morning  we can connect to  wifi,Suits 7 and 9 used and radio tested for the,N A,N A,N A,N A,N A,N A,N A
Crew 222  02 25 2020,SOL  9,Valentin PRUDHOMME,N A,N A,Monday,,72%,27%  refill asked,0.5,47,149478.07,280,yes,58.5,0,yes,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,yes,132.8,100%,58%,yes,no,69.9,N A,N A,yes,yes,138.8,100%,58%,yes,no,146.2,N A,N A,yes,N A,10 minutes,The habcar is now in the shop awaiting repairs.,N A,N A,All ok.,Suits 8  9  2 and 10 used and radio tested,N A,N A,N A,N A,N A,N A,N A
Crew 222  02 24 2020,SOL  8,Valentin PRUDHOMME,N A,N A,Friday,,74%,29%  refill asked,0.5,48,149453.58,304,yes,72,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,no,132.4,N A,N A,yes,no,69.9,N A,N A,yes,yes,138.5,100%,94%,yes,no,146.2,N A,N A,yes,N A,10 minutes,The habcar is now in the shop awaiting repairs.,N A,N A,All ok.,Suits 8 and 9 used and radio tested for the,N A,N A,N A,N A,After the rain of yesturday  the RAM wasn t,N A,N A
Crew 222  02 23 2020,SOL  7,Valentin PRUDHOMME,N A,N A,Friday,,74%,30%  refill asked,0.5,47,149426.79,319,yes,80,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,no,132.4,N A,N A,yes,no,69.9,N A,N A,yes,yes,138.4,100%,90%,yes,no,146.2,N A,N A,yes,N A,10 minutes,The habcar broke down on 02 18 2020. It s,N A,N A,All was fixed yesterday evening. All ok now.,Suits 8 and 9 used and radio tested for the,N A,N A,N A,N A,N A,N A,N A
Crew 222  02 22 2020,SOL  6,Valentin PRUDHOMME,N A,N A,Friday,,74%,31%  refill asked,0.5,50,149408.46,339,yes,89,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,no,132.4,N A,N A,yes,no,69.9,N A,N A,yes,yes,138.3,100%,94%,yes,no,146.2,N A,N A,yes,N A,5 minutes,The habcar broke down on 02 18 2020. It s parked at Bull Mountain Market.,N A,N A,Since 10 am this morning  we can connect to  wifi but it directly opens an internet page saying   you failed to access the web page that you want to view.  no matter the page we want to load.,Suits 7 and 9 used and radio tested for the EVA.,N A,N A,N A,N A,N A,N A,N A
Crew 222  02 21 2020,SOL  5,Valentin PRUDHOMME,N A,N A,Thursday,,75%,32%  refill asked,0.5,48,149382.89,367,yes,99,0,yes,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,yes,132.4,N A,N A,yes,no,69.9,N A,N A,yes,yes,138.3,100%,96%,yes,yes,144.8,100%,69%,yes,N A,10 minutes,The habcar broke down on 02 18 2020. It s parked at Bull Mountain Market.,N A,N A,used for  com. All ok.,Suits 7  8  9  10 used and radio tested for the EVA. The spacesuit number 10 worked well during the EVA.,N A,N A,N A,N A,N A,N A,N A
Crew 222  20Feb2020,SOL  4,Valentin PRUDHOMME,N A,N A,Wednesday,,75%,34%  refill asked,0.5,47,149356.82,387,yes,108.5,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,no,132.0,N A,N A,yes,no,69.9,N A,N A,yes,yes,138.2,100%,69%,yes,yes,144.3,100%,94%,yes,N A,10 minutes,The habcar broke down on 02 18 2020. It s parked at Bull Mountain Market.,N A,N A,used for  com. All ok.,Suits 7  8  9  10 used and radio tested for the EVA. The spacesuit number 10 has stopped ventilating during the EVA this morning but the lights were still on. I tried to fix this during this afternoon and I ll see if it works tomorrow.,N A,N A,N A,N A,N A,N A,N A
Crew 222  02 19 2020,SOL  3,Valentin PRUDHOMME,N A,N A,Tuesday,,75%,37%  refill asked,0.5,47,149334.72,410,yes,117.5,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,yes,132.0,100%,80%,yes,no,69.9,N A,N A,yes,no,138.0,N A,N A,yes,yes,144.1,100%,88%,yes,N A,10 minutes,The habcar broke down on 02 18 2020. It s,N A,N A,used for  com. All ok.,Suits 7  8  9  2 used and radio tested for,N A,N A,N A,N A,Operations on the spacesuit and LCVG experiment.,N A,N A
Crew 222  02 18 2020,SOL  2,Valentin PRUDHOMME,N A,N A,yes,93,78%,39%  refill asked,0.5,47,149317.02,427,yes,127,0,yes,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,no,131.7,N A,N A,yes,no,69.9,N A,N A,yes,yes,138.0,100,92,yes,yes,143.8,100,99,yes,N A,0,N A,N A,N A,used for  com,Suits 7  8  9  10 used and radio tested for the EVA. All ok.,N A,N A,N A,N A,Tried to fix 2 radios with two batteries found in the RAM but there is no back cover so we can t charge them.,N A,N A
Crew 222  02 17 2020,SOL  1,Valentin PRUDHOMME,N A,N A,yes,93,78%,41%,0.5,46,149275.24,441,yes,138,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,yes,131.7,100,96,yes,no,69.9,N A,N A,yes,yes,137.9,100,91,yes,yes,143.7,100,100,yes,N A,0,N A,N A,N A,used for  com,Suits 7  8  9  10 used and radio tested for the first EVA. All ok.,N A,N A,N A,N A,Repaired the hygrometric captor of the weather station  finished . Working on the experiment of the backpack  not fully done .,N A,N A
Crew 222  02 16 2020,SOL  0,Valentin PRUDHOMME,N A,N A,yes,75,80%,42%,N A,43,149275.24,455,yes,170,0,no,,,,,,ASSIGNED TO DIRECTOR,N A,N A,N A,N A,yes,131.6,100,90,yes,no,69.6,N A,N A,yes,yes,137.7,100,86,yes,yes,143.6,100,99,yes,N A,30 minutes,Used this morning for getting water and used by the Station Director to go to town.,Return to Grand Junction for crew 221.,N A,wifi set on all computers and working correctly,11 radios in the Hab with 9 of them for the outside. There are 4 radios without batteries. The other 7 are operational. Suits tested by 4 crew members.,N A,N A,N A,N A,N A,N A,N A
Crew 221  15Feb2020,SOL  13,Luis D. Monge,,,on  at 6 16 pm,70%,73%,45%,N A,35,148,75,yes,no water left in the greenhab yesterday  tank being refilled at this moment.,0,yes,,,,,,ASSIGNED TO DIRECTOR,,,,yes,no,before EVA    131.9,Before EVA  100%,On return from EVA  before recharging,yes,no,n a,n a,n a,yes,no,137.2,100%,,yes,no,142.8,100%,,yes,,not used,not used,not used,not used,operational,operational,deep cleaned for crew handover,deep cleaned for crew handover  tank being refilled,deep cleaned for crew handover Summary of RAM operations  RAM cleaned,nominal,ScienceDome   deep cleaned for crew handover Summary of  operations  RAM cleaned,nothing to report.,Full cleaning of habitats carried out  food inventory carried out.
Crew 221  14Feb2020,SOL  12,Luis D. Monge,,,on  at 7 16 pm  89%,73%,73%,47%,N A,35,148,145,yes,157.5 used and no water left in the greenhab at this moment  please refer to greenhab report.,0,no,,,,,,ASSIGNED TO DIRECTOR,,,,yes,yes,before EVA    131.9,Before EVA  100%,On return from EVA  before recharging  53%,yes,no,n a,n a,n a,yes,no,137.2,100%,,yes,yes,142.8,100%,47%,yes,,not used,not used,not used,not used,operational,operational,nominal.,operational  black corn experiment finished  watering of the plants carried out as per procedure.,one oven is operating in the lab  the incubator is non functional  microbiology experiments going on and cultures are being grown in agar plates  all activities set to end by tomorrow.,nominal,RAM cleaned,nothing to report.,Cleaning of habitats  food inventory carried out.
Crew 221  13Feb2020,SOL  11,Luis D. Monge,,,on  at 8 20 pm,73%,75%,48%,N A,35,148,180,no,152.3  water is lower than estimated  please refer to Greenhab report,0,no,,,,,,ASSIGNED TO DIRECTOR,,,,yes,no,before EVA    130.4,Before EVA  100%,On return from EVA  before recharging,yes,no,n a,n a,n a,yes,yes,137.2,100%,78%,yes,no,,,,,,not used,not used,not used,not used,operational,operational,nominal.,operational  black corn experiment set to finish tomorrow  now watered with 2l day. watering of the plants carried out as per the procedure,one oven is operating in the lab  the incubator is non functional  microbiology experiments going on and cultures are being grown in agar plates.,nominal,robot assembly completed  radio communication experiment completed.,nothing to report.,Spirit was disconnected  EVA crew reconnected it.
MDRS Supplemental  12 FEB 2020  Updated,,Shannon Rupert,Generator,,,running nominally  solar throughout  day and generator,not checked,not checked,not checked,,n a,not checked,n a,,,n a,,,,,,nominal,,,,yes,nominal,,,,yes. This rover now has the metal parts that,Still has the brake issue and should not be,,,,yes,nominal.,,,,yes,Yes. Repairs completed. This rover has new,,,,yes,,n a,running  If   why  where  Yes  used for trips to town. It,CrewCar running  If used why  where  Currently in GJ. Needs to be,,All three accounts nominal. Suggest replacement of wifi box in Hab  I can never remember which is  router and which is the modem,Four yellow radios were added to the,Nothing to report at this time as the crew is in sim,New seed bank can and additional seeds,Dual split still not completed.,A cord was replaced by Atila and,The wiring issue at the charging stations has been completed. There is new damage to the top of the outer airlock door and no one seems to know how it happened.,The stove was installed with part of the changeover from natural gas to propane not completely done.,supplies needed and requests  Nothing at this time.
Crew 221  12Feb2020,SOL  10,Luis D. Monge,,,on  at 7 40 pm,79%,85%,50%,N A,35,148,215,no,169.3  water is probably lower than estimated  please refer to greenhab report,0,no,,,,,,ASSIGNED TO DIRECTOR,,,,yes,no,before EVA    130.4,Before EVA  100%,On return from EVA  before recharging,yes,no,n a,n a,n a,yes,no,136.6,100%,,yes,no,,,,,,not used,not used,not used,not used,operational,operational  4 blue radios and,nominal.,operational  black corn experiment continues  now watered with 2l day. watering of the plants carried out as per procedure,one oven is operating in the lab  the incubator is non functional  microbiology experiments going on and cultures are bieng grown in agar plates.,nominal,robot assembly almost completed and expected to continue  radio comunication experiment continued expected to finish tomorrow.,crew memeber with flu continues recovery.,nothing to report
